 Computed angles file for PUMA motor control
 calc7m_h23.tag
 Eval_MLI v4.0
2	// File format
7	// Number of angle
0	// first slope : rising(1) falling(0)
ag1(tour)	ag2(tour)	ag3(tour)	ag4(tour)	ag5(tour)	ag6(tour)	ag7(tour)
0.028300	0.079020	0.086823	0.149877	0.150111	0.216217	0.217112
0.028300	0.079020	0.086823	0.149877	0.150111	0.216217	0.217112
0.028300	0.079020	0.086823	0.149877	0.150111	0.216217	0.217112
0.028300	0.079020	0.086823	0.149877	0.150111	0.216217	0.217112
0.028300	0.079020	0.086823	0.149877	0.150111	0.216217	0.217112
0.028300	0.079020	0.086823	0.149877	0.150111	0.216217	0.217112
0.028300	0.079020	0.086823	0.149877	0.150111	0.216217	0.217112
0.028300	0.079020	0.086823	0.149877	0.150111	0.216217	0.217112
0.028300	0.079020	0.086823	0.149877	0.150111	0.216217	0.217112
0.028300	0.079020	0.086823	0.149877	0.150111	0.216217	0.217112
0.028300	0.079020	0.086823	0.149877	0.150111	0.216217	0.217112



