 Computed angles file for PUMA motor control
 calc9m1o.tag
 Eval_MLI v4.0
2	// File format
9	// Number of angle
0	// first slope : rising(1) falling(0)
ag1(tour)	ag2(tour)	ag3(tour)	ag4(tour)	ag5(tour)	ag6(tour)	ag7(tour)	ag8(tour)	ag9(tour)
0.018597	0.036722	0.050350	0.072761	0.082781	0.108939	0.116425	0.145436	0.151581
0.018425	0.036700	0.050122	0.072733	0.082514	0.108936	0.116150	0.145519	0.151375
0.018247	0.036675	0.049889	0.072697	0.082239	0.108925	0.115869	0.145597	0.151161
0.018072	0.036644	0.049653	0.072656	0.081956	0.108903	0.115575	0.145669	0.150944
0.017892	0.036611	0.049411	0.072606	0.081667	0.108869	0.115272	0.145733	0.150717
0.017714	0.036569	0.049167	0.072544	0.081367	0.108822	0.114956	0.145792	0.150483
0.017531	0.036525	0.048914	0.072472	0.081056	0.108758	0.114622	0.145839	0.150236
0.017347	0.036472	0.048658	0.072389	0.080736	0.108678	0.114272	0.145872	0.149978
0.017161	0.036414	0.048392	0.072292	0.080400	0.108575	0.113903	0.145892	0.149706
0.016972	0.036347	0.048119	0.072181	0.080053	0.108450	0.113508	0.145892	0.149411
0.016781	0.036272	0.047839	0.072050	0.079686	0.108294	0.113086	0.145869	0.149094
0.016583	0.036186	0.047547	0.071900	0.079303	0.108106	0.112631	0.145817	0.148744
0.016386	0.036089	0.047244	0.071725	0.078894	0.107872	0.112133	0.145719	0.148353
0.016181	0.035978	0.046928	0.071522	0.078458	0.107589	0.111583	0.145564	0.147903
0.015969	0.035850	0.046592	0.071283	0.077989	0.107236	0.110969	0.145322	0.147364
0.015753	0.035697	0.046231	0.070997	0.077472	0.106792	0.110269	0.144947	0.146692
0.015522	0.035517	0.045839	0.070647	0.076894	0.106222	0.109447	0.144342	0.145789
0.015275	0.035283	0.045397	0.070197	0.076222	0.105458	0.108436	0.143300	0.144453
0.014992	0.034961	0.044856	0.069556	0.075364	0.104322	0.107069	0.141222	0.142092
0.014567	0.034264	0.043903	0.068147	0.073753	0.101750	0.104311	0.135272	0.135928
0.014567	0.034264	0.043903	0.068147	0.073753	0.101750	0.104311	0.135272	0.135928
0.014567	0.034264	0.043903	0.068147	0.073753	0.101750	0.104311	0.135272	0.135928
0.014567	0.034264	0.043903	0.068147	0.073753	0.101750	0.104311	0.135272	0.135928
0.014567	0.034264	0.043903	0.068147	0.073753	0.101750	0.104311	0.135272	0.135928
0.014567	0.034264	0.043903	0.068147	0.073753	0.101750	0.104311	0.135272	0.135928
0.014567	0.034264	0.043903	0.068147	0.073753	0.101750	0.104311	0.135272	0.135928
0.014567	0.034264	0.043903	0.068147	0.073753	0.101750	0.104311	0.135272	0.135928
0.014567	0.034264	0.043903	0.068147	0.073753	0.101750	0.104311	0.135272	0.135928
0.014567	0.034264	0.043903	0.068147	0.073753	0.101750	0.104311	0.135272	0.135928
0.014567	0.034264	0.043903	0.068147	0.073753	0.101750	0.104311	0.135272	0.135928
0.014567	0.034264	0.043903	0.068147	0.073753	0.101750	0.104311	0.135272	0.135928
0.014567	0.034264	0.043903	0.068147	0.073753	0.101750	0.104311	0.135272	0.135928
